32.045956,85.121900,CASDO,AL,US
34.378500,86.327800,CATGO,AL,US
31.307231,87.579931,CATLN,AL,US
34.576250,86.661789,CAVPU,AL,US
33.324169,87.652319,CAYAP,AL,US
30.767478,88.308442,CAYAT,AL,US
34.506247,86.785033,CECAB,AL,US
32.376500,85.939206,CECAL,AL,US
30.898708,88.236558,CECAP,AL,US
33.908636,87.570061,CECAV,AL,US
31.783322,85.123717,CEDLO,AL,US
33.917356,86.204822,CEGON,AL,US
33.465403,86.294386,CEKLA,AL,US
33.526311,88.218778,CEKSU,AL,US
31.941808,86.075478,CELUT,AL,US
33.470886,86.916850,CEMPO,AL,US
34.099494,86.161931,CEPET,AL,US
34.315744,88.091011,CESRO,AL,US
31.265067,85.971158,CESVA,AL,US
32.582078,86.640189,CEVOM,AL,US
31.496439,88.283647,CEVUN,AL,US
33.550903,86.932892,CEWFA,AL,US
31.575572,87.876936,CEXUK,AL,US
31.367525,85.799025,CEYLU,AL,US
32.411375,85.440464,CFBCN,AL,US
32.321708,86.628072,CFBCR,AL,US
34.745369,86.826239,CFCEO,AL,US
32.392319,85.136881,CFDRP,AL,US
31.529481,85.593689,CFFGR,AL,US
32.689717,85.096908,CFJBX,AL,US
31.489372,85.647492,CFLSG,AL,US
30.848694,88.376414,CFLSL,AL,US
32.409872,85.440494,CFMBX,AL,US
31.106511,85.201008,CFMBZ,AL,US
34.116753,85.776139,CFRZN,AL,US
31.757150,86.338844,CFVKQ,AL,US
31.650364,86.617225,CHAFF,AL,US
33.374997,86.198719,CHEHA,AL,US
31.899494,85.408939,CHIRP,AL,US
33.934617,87.455947,CHOOK,AL,US
32.498281,85.735481,CHPPE,AL,US
32.223142,85.051778,CHUTT,AL,US
33.531433,86.083483,CIBOG,AL,US
34.191792,87.603556,CICBY,AL,US
32.378175,85.016808,CIDIV,AL,US
33.204986,87.980217,CIKOB,AL,US
33.724486,86.786136,CILAL,AL,US
32.432761,86.396389,CINOG,AL,US
33.069344,86.656678,CIPBA,AL,US
32.858567,85.263653,CIRNU,AL,US
34.354069,85.970997,CIVMA,AL,US
31.692886,85.671164,CLIOS,AL,US
32.601414,86.355317,CNDLR,AL,US
32.366386,86.355972,CODOK,AL,US
31.636422,87.022656,COGTA,AL,US
34.301008,85.893319,COHHE,AL,US
33.785692,86.747067,COLIG,AL,US
32.528172,86.446644,COLJU,AL,US
33.520356,85.949436,COLOB,AL,US
34.909825,85.635861,COMAR,AL,US
32.460114,85.027669,COMOD,AL,US
31.855106,88.270975,COOUP,AL,US
30.381575,87.938358,COPOV,AL,US
33.835328,87.243531,CORES,AL,US
34.769111,86.763133,COTIN,AL,US
34.644097,85.550853,COVID,AL,US
33.066081,85.331772,COVOL,AL,US
32.305019,86.439314,COVUS,AL,US
31.323503,86.451342,COXOX,AL,US
32.555247,85.319972,CRAWL,AL,US
33.800481,87.132094,CREAL,AL,US
31.745536,86.231353,CRENS,AL,US
30.423531,87.884075,CUBEP,AL,US
32.613703,87.790086,CUBNO,AL,US
31.387344,85.277761,CUGEG,AL,US
34.635975,85.601822,CUGNI,AL,US
32.393097,86.375561,CUGOV,AL,US
34.984325,85.629200,CUKVA,AL,US
31.070856,86.814853,CUMAT,AL,US
31.363122,85.266081,CUNLU,AL,US
32.426292,87.053786,CURPA,AL,US
34.221442,86.874914,CUSAG,AL,US
32.706989,87.455931,CUSCA,AL,US
32.079925,88.031200,CUTAV,AL,US
33.602817,86.688103,CUXOB,AL,US
31.031853,85.564597,CWATR,AL,US
34.531806,87.166917,DABIE,AL,US
33.287333,87.027369,DABRO,AL,US
34.253308,87.721442,DALEC,AL,US
31.001486,85.850658,DARED,AL,US
32.726447,85.855539,DAVSS,AL,US
33.234425,87.202189,DAYVS,AL,US
34.707906,87.420792,DAZNI,AL,US
33.769872,85.601156,DDASH,AL,US
34.486533,86.751419,DEANY,AL,US
34.728372,86.763953,DEBAY,AL,US
31.366408,85.517611,DEKKE,AL,US
33.229450,87.560756,DELBE,AL,US
33.890314,86.908650,DELFI,AL,US
34.771761,85.732814,DENST,AL,US
31.991819,86.756367,DEPEN,AL,US
33.920831,88.005936,DEPST,AL,US
34.618081,87.435167,DEVAC,AL,US
30.593100,88.039408,DEXOW,AL,US
30.550114,88.180914,DEYPA,AL,US
34.357236,86.082036,DEZLY,AL,US
30.734803,88.281136,DICAD,AL,US
33.560256,86.245419,DICAK,AL,US
33.142231,87.409233,DICAV,AL,US
30.739844,88.236525,DIDEC,AL,US
31.432272,87.150847,DINGS,AL,US
33.488750,87.992625,DINNI,AL,US
34.009900,86.479247,DIODE,AL,US
34.522547,86.159681,DIVYA,AL,US
34.724439,87.550533,DIXLI,AL,US
32.391786,85.137608,DOCEG,AL,US
34.532511,87.680892,DONSE,AL,US
33.856189,87.231867,DORRA,AL,US
34.175367,86.891344,DOWDU,AL,US
31.267475,86.370231,DOZER,AL,US
34.857047,86.520333,DOZVA,AL,US
33.064750,86.183083,DRSDN,AL,US
32.523706,85.476097,DRYDN,AL,US
34.741647,85.956767,DUCAB,AL,US
34.854981,85.851247,DUGGE,AL,US
31.207542,85.393694,DUKME,AL,US
34.313047,87.990458,DUVBY,AL,US
31.482442,85.668975,DUYER,AL,US
31.130481,85.356242,EASAL,AL,US
34.310267,87.889911,EBAHU,AL,US
34.262072,85.773281,EBAZE,AL,US
32.932942,87.036375,EBEYA,AL,US
34.573197,86.239872,EDASE,AL,US
34.318078,86.466481,EDDIE,AL,US
33.636333,86.211375,EFBUB,AL,US
31.696917,85.416328,EFORD,AL,US
31.418442,85.510786,EGEST,AL,US
31.097167,87.165228,EHEBA,AL,US
32.437394,86.622536,EKUSY,AL,US
34.082989,86.085400,EKUTE,AL,US
34.724061,86.766553,ELAIN,AL,US
34.844589,86.906489,ELKED,AL,US
33.638600,86.806467,EMIZI,AL,US
31.038844,87.313392,EMUSY,AL,US
31.364356,85.356056,EMVUF,AL,US
33.687539,86.042772,ENGNR,AL,US
34.418464,86.770167,ENIKY,AL,US
31.689281,86.317297,ENNTT,AL,US
31.071708,85.813761,EPARR,AL,US
32.161864,85.113269,EPICU,AL,US
34.954119,85.594147,EPIJE,AL,US
34.547067,85.765281,ERFOM,AL,US
33.694722,86.701228,ERIGE,AL,US
31.226978,88.087308,ERNON,AL,US
31.364919,85.398911,ERUCA,AL,US
34.647653,85.913697,ESBIY,AL,US
32.362706,86.478058,ESCOT,AL,US
34.861322,86.940447,ETEVY,AL,US
31.683683,87.857364,ETIBY,AL,US
32.817725,87.839033,EUTAW,AL,US
31.434278,85.655242,EWALL,AL,US
33.993758,87.581486,EXIST,AL,US
30.591900,88.236494,EYEDY,AL,US
30.659092,87.975875,EYIPA,AL,US
34.877025,86.618664,EZBUV,AL,US
33.660639,86.427114,EZRUB,AL,US
33.096906,86.742864,FABOX,AL,US
34.959372,86.555542,FALOL,AL,US
34.471844,86.079586,FALVA,AL,US
33.002408,86.844317,FAMAM,AL,US
31.400592,86.928575,FAMVU,AL,US
30.649450,88.209917,FANEP,AL,US
32.476733,86.434936,FASAM,AL,US
34.471817,86.638400,FASOV,AL,US
31.498261,87.315736,FATUN,AL,US
34.804072,85.771028,FAXIL,AL,US
33.010814,86.209667,FAYEZ,AL,US
33.187775,87.517389,FEBOG,AL,US
34.203672,87.994789,FEGMI,AL,US
34.727000,86.780611,FEKER,AL,US
31.282222,85.405231,FEKRA,AL,US
34.682247,86.764878,FEKSO,AL,US
30.290508,87.497561,FELTS,AL,US
31.424917,87.097544,FEMEN,AL,US
32.451503,85.041544,FENIX,AL,US
31.930817,85.795106,FEPEN,AL,US
33.132200,88.141083,FEPON,AL,US
31.227275,87.447433,FEVIB,AL,US
34.310956,86.721497,FEWER,AL,US
32.599597,86.460936,FIBAV,AL,US
33.628469,87.281667,FIBER,AL,US
33.793172,85.731708,FIDAV,AL,US
34.047297,85.926083,FIKOX,AL,US
34.905836,85.931567,FINOP,AL,US
34.429003,86.195667,FIRLO,AL,US
34.231725,87.602144,FIRSA,AL,US
34.360922,86.825056,FISRO,AL,US
30.540575,87.861753,FITAV,AL,US
32.151425,86.004317,FITTZ,AL,US
33.083686,87.749742,FLOSY,AL,US
33.451111,85.564558,FNISH,AL,US
32.701039,86.091331,FNLEY,AL,US
34.381792,85.948239,FOCEY,AL,US
32.459106,85.195861,FODUN,AL,US
34.107033,87.823378,FOGUM,AL,US
34.190256,86.920786,FOLSO,AL,US
31.427919,87.368086,FONGU,AL,US
33.172514,86.394317,FONKU,AL,US
31.326039,85.823417,FOUTS,AL,US
31.367089,87.914550,FOVID,AL,US
34.169286,86.336569,FOYGU,AL,US
32.321758,86.447206,FRDDO,AL,US
31.894789,86.258906,FULTY,AL,US
33.448758,86.153464,GACBU,AL,US
31.041111,86.133889,GADAY,AL,US
30.682411,88.138892,GARON,AL,US
34.189958,86.084839,GAYEC,AL,US
34.806508,86.824972,GENDE,AL,US
34.597797,86.766575,GEPDE,AL,US
34.292717,86.068603,GESTS,AL,US
34.768131,86.779783,GETEC,AL,US
34.019000,87.174575,GETME,AL,US
30.290364,87.626189,GEVBE,AL,US
34.900831,85.782233,GICEG,AL,US
33.222031,85.669089,GIFFY,AL,US
30.894531,88.304917,GIKEY,AL,US
35.007236,87.481022,GILLE,AL,US
32.503756,85.113236,GIMLY,AL,US
32.311858,86.516294,GITEC,AL,US
34.780725,87.526297,GOCCI,AL,US
33.173322,86.512897,GOKYE,AL,US
31.853367,85.372989,GOLLM,AL,US
32.367217,85.765856,GONDR,AL,US
34.027336,87.692069,GOOGY,AL,US
32.420272,85.061000,GOPDE,AL,US
34.234697,86.248203,GOPPO,AL,US
33.352731,86.023319,GOSSE,AL,US
33.290539,86.745706,GOTBY,AL,US
33.943372,86.023342,GOUBR,AL,US
33.077078,86.567772,GRGIA,AL,US
33.265917,87.703747,GUBRE,AL,US
30.640125,87.842733,GUCTE,AL,US
33.418639,87.007025,GUFLO,AL,US
32.210536,86.207642,GULCH,AL,US
31.352808,85.752094,GULNE,AL,US
33.075708,86.618456,GUMMP,AL,US
31.070361,85.716742,GWEBB,AL,US
34.364044,87.580353,HACKE,AL,US
34.707186,87.491600,HAGIE,AL,US
34.848419,86.778164,HAGUR,AL,US
34.028736,88.001692,HALEC,AL,US
33.523125,86.747228,HAMGA,AL,US
33.312333,86.523456,HANDE,AL,US
33.838356,85.648531,HANKO,AL,US
33.368761,86.341103,HANUR,AL,US
34.504831,85.996269,HANVI,AL,US
30.565886,87.700822,HAPIN,AL,US
33.931528,88.141589,HARNN,AL,US
34.519231,86.934208,HASEL,AL,US
34.829928,86.625603,HATAS,AL,US
31.022939,86.820725,HAVOG,AL,US
31.527203,85.322131,HAVSO,AL,US
31.442428,86.015789,HAXES,AL,US
31.259231,88.402708,HAZEY,AL,US
31.219689,86.903022,HEBLI,AL,US
34.063719,85.671781,HEDRO,AL,US
33.206839,86.870911,HEENA,AL,US
33.598542,85.419603,HEFIN,AL,US
32.323733,86.651278,HEGAP,AL,US
30.431189,87.413981,HEGOB,AL,US
30.381342,87.701000,HEKAL,AL,US
30.678803,88.358550,HELMU,AL,US
32.322356,86.635481,HELTU,AL,US
31.110350,87.447058,HELUD,AL,US
31.908283,86.344811,HEMMO,AL,US
32.526764,86.566881,HEMOV,AL,US
31.622800,87.241372,HEPUS,AL,US
34.585919,86.783439,HEREG,AL,US
33.069075,86.845381,HERKO,AL,US
32.393175,85.440850,HESEL,AL,US
33.597942,86.889164,HESGA,AL,US
33.170783,86.181842,HETOD,AL,US
33.842525,86.598508,HEVOG,AL,US
31.335461,86.498044,HIDAR,AL,US
31.002419,86.985289,HIHIT,AL,US
33.683989,85.728672,HILAG,AL,US
34.835681,85.595744,HINIV,AL,US
33.280664,86.571383,HIPIX,AL,US
30.649300,88.236508,HISAL,AL,US
34.668775,86.682489,HISIP,AL,US
30.306631,88.099533,HITGA,AL,US
33.513031,88.196392,HOAPE,AL,US
34.466231,86.677886,HOBBI,AL,US
33.925022,85.992556,HOKES,AL,US
33.626119,88.179731,HOLOG,AL,US
33.319983,87.418236,HOLTY,AL,US
32.866819,86.517308,HONIS,AL,US
34.030167,88.172039,HOOTS,AL,US
34.697358,85.628647,HORAM,AL,US
34.366908,87.597367,HOREK,AL,US
33.869242,86.086519,HORPO,AL,US
33.761614,88.089306,HOTOW,AL,US
31.084650,85.727850,HOUND,AL,US
31.664161,87.326178,HOVEN,AL,US
34.548644,88.063414,HRTUN,AL,US
30.484983,87.902867,HUBGO,AL,US
34.081272,85.852833,HUBJU,AL,US
33.645939,86.613092,HUKEV,AL,US
34.655419,87.364506,HUPOK,AL,US
34.632103,87.428783,HUTCC,AL,US
30.689225,88.136928,HUTIP,AL,US
30.655217,88.106333,HUTIT,AL,US
34.830461,86.593689,HUTUN,AL,US
32.409211,87.348256,HUXEB,AL,US
30.290225,87.713431,HUXUP,AL,US
32.639172,85.137981,ICECA,AL,US
32.277689,86.136781,ICOTE,AL,US
30.464272,88.348614,IFUJU,AL,US
31.704925,85.873228,IGUBE,AL,US
30.642344,88.064356,IHOVU,AL,US
31.744600,85.144233,IKAGE,AL,US
33.379856,86.831350,IKIMY,AL,US
30.280619,87.911236,ILAPY,AL,US
33.169611,86.058475,IMEXE,AL,US
33.403569,86.746681,IMOBY,AL,US
33.606611,86.747175,IMTOY,AL,US
32.559411,86.433867,INCHU,AL,US
33.382231,88.176931,INOVE,AL,US
31.283025,85.445547,INUME,AL,US
31.271767,88.030072,INYAG,AL,US
30.479139,88.236472,IPAPE,AL,US
34.885469,86.731386,IPUDE,AL,US
33.418244,87.535283,IROSY,AL,US
34.485344,85.709772,ISBAW,AL,US
33.427736,87.212083,ISOJO,AL,US
32.045922,86.681700,ISOPY,AL,US
31.780014,86.545492,ISRAW,AL,US
31.535128,87.884244,ITCIB,AL,US
34.632683,86.674453,ITIYU,AL,US
31.026600,86.675086,ITUYU,AL,US
32.672811,86.341775,ITWAN,AL,US
34.919403,85.759022,ITYOJ,AL,US
31.180836,85.278864,IVCOB,AL,US
31.181636,85.584289,IVGIF,AL,US
32.835053,86.699936,IVIJI,AL,US
31.978231,87.041319,IVLUH,AL,US
31.915400,85.322083,IVUWE,AL,US
34.246267,88.139025,IVWEL,AL,US
33.519222,87.138614,IVYIF,AL,US
33.920489,86.910283,IVZAF,AL,US
31.128208,85.996628,IWAVE,AL,US
34.601814,87.429542,IWFIM,AL,US
34.512808,85.651544,IWIBY,AL,US
34.693758,85.937375,IWIGY,AL,US
33.662872,88.059017,IXMIX,AL,US
32.969767,86.786992,IXUSE,AL,US
31.901175,86.043314,IYUKO,AL,US
30.613983,88.180372,JABAK,AL,US
33.918050,87.905853,JAGPA,AL,US
32.312908,87.595108,JAILS,AL,US
31.534303,87.300333,JALES,AL,US
31.786264,85.945031,JALOV,AL,US
31.317286,87.057464,JALSO,AL,US
33.232136,86.942319,JAMMR,AL,US
33.704056,85.603778,JAMUD,AL,US
31.228917,85.806839,JAMUP,AL,US
31.765875,88.435022,JANES,AL,US
